Median_Household_Income_2018,PCTPOVALL_2018,Unemployment_rate_2018,Percent of adults with less than a high school diploma 2014-18,diabetes_prevalence,Heart disease_prevalence
52486,12.0,4.5,16.0,12.1,8.4
30029,33.7,6.3,25.4,19.1,13.0
36423,23.1,5.2,14.7,15.5,10.4
37563,19.8,4.7,21.5,16.0,11.5
50826,12.1,3.6,16.5,13.5,9.5
54433,9.1,2.6,8.2,10.8,7.8
47343,19.2,4.1,12.5,14.0,7.1
55322,9.7,2.2,6.5,10.6,7.9
35751,25.2,8.4,26.3,17.6,12.7
34122,32.7,4.9,17.3,16.9,11.6
41864,16.9,3.6,15.8,13.6,10.2
55776,13.3,2.8,15.8,15.0,10.2
44286,17.8,7.3,17.2,15.3,10.5
63677,9.7,3.1,9.6,10.7,7.9
52355,10.5,3.2,7.2,11.8,7.8
56343,12.1,3.4,12.0,13.0,10.1
46326,15.1,2.6,14.8,11.6,8.4
59523,13.1,8.2,8.2,14.3,9.1
43157,18.8,5.4,17.8,17.1,10.7
37013,18.2,4.4,15.9,15.1,11.5
60378,10.2,2.6,6.3,10.9,7.5
48794,16.6,3.4,15.1,10.9,7.1
39114,22.8,5.1,23.1,17.4,10.0
39491,21.3,3.8,25.9,15.6,10.5
51649,11.5,3.2,10.5,13.9,8.9
54292,12.7,4.7,10.1,11.3,8.0
46706,15.4,5.0,13.1,13.0,8.9
50131,14.7,4.4,15.1,14.2,8.6
52560,11.7,3.5,8.4,11.3,8.2
48860,15.6,4.3,13.2,13.0,9.8
42542,16.8,3.6,20.4,14.0,8.5
48799,15.0,5.2,10.2,12.6,8.9
53359,11.7,3.1,12.3,12.0,8.9
72111,8.7,2.8,14.8,11.7,7.2
52741,14.7,2.8,16.0,15.2,8.7
49585,10.7,2.6,18.1,12.0,8.0
43328,15.9,3.8,20.3,14.0,9.7
60163,10.5,5.2,9.6,14.0,9.9
51456,15.3,2.9,16.9,11.1,7.0
56141,16.1,4.4,15.2,11.5,6.7
44130,13.2,5.8,6.3,13.3,10.4
65163,9.0,2.1,7.2,9.7,6.7
39484,19.3,4.0,18.2,16.0,11.2
73500,8.3,3.3,9.6,11.1,6.9
38409,24.9,5.7,20.6,12.8,6.9
37002,32.9,4.1,16.0,18.2,10.4
50427,14.7,3.6,15.7,13.2,8.6
39037,16.1,3.8,15.7,16.8,11.8
51343,13.1,3.0,14.9,16.4,10.7
56338,9.7,3.2,6.5,10.9,8.0
40761,20.3,6.5,13.6,13.1,9.5
34090,24.6,5.1,28.8,22.1,11.7
52651,16.6,4.7,22.7,13.2,8.6
49782,12.2,2.1,8.7,11.6,8.6
52633,15.0,3.3,12.7,13.3,8.1
47382,15.9,4.8,11.8,12.7,9.6
63160,7.7,2.6,7.5,9.6,7.1
46049,19.2,5.5,12.8,15.5,8.4
56052,11.6,2.6,28.5,13.8,7.2
53447,12.4,2.5,21.6,13.2,8.3
41899,12.2,2.5,6.7,14.2,10.4
63689,11.3,4.6,7.9,10.4,7.3
48520,11.6,3.2,6.7,12.8,8.9
56981,10.3,3.1,11.4,11.0,8.3
62191,11.0,4.0,10.3,11.7,7.6
49771,19.1,3.6,12.2,11.0,6.4
30742,31.9,6.2,27.7,17.2,12.2
47339,19.1,4.9,11.8,13.7,8.3
47401,13.1,5.7,9.4,13.3,10.0
36869,25.4,5.3,14.5,17.1,10.3
53903,16.8,6.2,14.7,15.7,8.5
37776,22.0,6.0,19.5,15.3,10.2
54093,14.1,4.9,4.7,10.4,7.9
35020,26.2,5.9,17.3,17.1,9.5
93645,5.3,2.8,5.2,9.4,6.4
46777,16.4,1.9,13.6,15.2,11.1
34824,24.6,4.1,16.6,14.8,10.7
59219,8.9,2.5,12.6,10.5,7.9
105921,5.0,3.1,7.2,8.9,5.1
36083,26.5,4.4,16.9,15.7,9.3
51070,18.3,4.1,7.7,10.0,6.6
44756,17.8,3.6,15.8,14.2,10.7
49208,18.4,3.1,19.0,15.5,9.5
81002,9.9,2.7,12.0,10.1,6.2
49750,15.0,7.2,10.2,13.3,9.8
78777,11.5,3.3,12.9,9.6,5.3
40909,22.4,4.8,15.0,14.5,9.1
43731,15.5,2.4,10.8,12.7,9.3
77760,8.1,3.5,6.4,9.3,6.7
33392,29.4,6.2,21.6,19.6,10.7
56541,11.6,2.9,12.0,12.1,8.7
67372,9.4,4.2,6.5,10.2,7.2
45174,19.6,4.7,20.2,16.4,9.2
61087,10.0,3.8,13.0,11.8,7.7
45788,16.0,4.5,15.2,12.5,8.5
95021,5.0,3.5,5.2,11.2,6.3
29244,35.1,6.8,21.2,19.2,9.7
56832,7.8,4.4,8.2,12.3,9.2
38092,22.2,6.0,20.3,19.1,11.1
69297,9.0,3.6,10.0,10.7,6.4
57464,18.9,1.6,2.9,7.3,4.8
42188,18.4,4.0,16.3,14.9,10.4
42099,19.7,3.6,19.5,16.5,9.0
50539,13.5,2.3,29.2,15.1,8.4
84048,5.0,3.3,4.6,8.9,6.9
61927,9.1,2.3,10.9,9.6,6.0
40009,14.9,2.6,9.9,11.7,9.3
53395,16.2,4.5,11.7,10.8,7.7
41583,17.6,3.1,12.8,13.6,9.9
56678,11.0,3.2,6.3,10.0,8.7
47484,17.8,3.1,10.4,12.6,8.9
46629,15.3,6.0,15.4,15.0,10.0
60531,8.0,1.9,6.5,10.1,7.6
40077,25.5,5.0,14.5,14.4,8.7
49609,13.2,2.7,6.0,11.3,8.6
46064,21.8,4.0,16.8,14.1,8.6
45604,18.6,5.0,24.2,14.5,8.5
58320,15.7,3.3,15.5,12.2,6.7
39934,17.5,5.1,6.7,13.9,10.7
53111,13.8,3.1,15.0,13.0,8.8
59428,9.5,2.6,8.3,9.7,7.0
45086,18.4,5.2,14.8,13.5,9.2
53871,13.9,2.4,10.3,13.9,10.2
36592,20.3,3.1,21.4,14.6,11.0
45817,12.6,4.6,11.1,13.1,10.4
60349,12.6,3.6,10.0,10.6,6.8
66145,9.1,4.0,8.8,11.5,7.5
68381,7.7,3.8,5.2,10.5,7.2
38537,23.9,2.9,23.1,15.2,10.1
58398,9.2,4.4,6.0,11.3,7.8
65849,8.8,2.3,8.9,10.6,7.6
32691,39.6,7.4,22.0,16.1,9.2
67790,9.8,4.0,8.1,10.2,6.7
52012,15.6,5.4,35.4,12.8,7.9
53168,14.5,2.9,10.5,9.4,7.0
73468,7.6,3.7,8.3,9.3,6.4
54609,9.0,2.9,8.7,11.0,8.5
59673,13.2,4.4,11.8,14.7,6.9
57332,12.0,2.7,17.8,13.3,8.8
69114,10.4,3.0,9.8,11.4,7.9
51280,11.1,4.5,8.5,11.3,8.2
69214,7.9,2.7,4.5,8.7,6.4
55970,13.9,2.4,4.2,8.4,6.2
60975,8.4,2.6,6.5,10.4,7.9
52086,11.9,3.0,8.8,12.4,9.0
40161,18.5,3.2,18.8,14.6,10.5
51812,12.7,2.8,26.8,12.4,7.4
59815,8.5,2.3,8.0,10.9,8.0
52447,11.5,3.5,10.7,14.1,10.0
59838,14.2,3.7,21.3,11.6,6.3
47202,13.9,3.5,16.1,14.2,9.5
42905,18.2,4.8,16.5,16.2,11.4
38441,23.2,4.7,18.4,16.2,8.9
50185,13.8,5.8,3.3,11.9,8.7
58618,12.4,2.5,6.5,8.5,5.4
47317,16.5,2.9,21.5,14.2,8.2
47205,18.7,3.8,14.6,13.6,9.6
56696,11.0,2.9,11.9,13.1,8.9
69048,6.9,1.5,9.4,10.0,7.1
42913,21.0,4.2,14.8,14.2,9.4
48984,15.7,4.3,16.6,13.6,8.4
50246,13.8,3.7,16.7,14.9,9.8
66607,10.9,3.3,18.9,11.0,7.0
43911,15.6,4.0,14.9,14.9,9.6
58391,13.2,2.7,9.7,10.1,7.3
53161,18.1,4.5,8.6,11.0,7.4
49280,18.6,3.3,19.8,11.8,7.3
37719,27.0,7.8,11.1,16.3,9.7
42483,22.4,3.7,17.7,16.1,10.0
81315,7.6,4.2,7.1,10.1,6.1
65818,10.5,4.3,11.0,10.9,6.4
49498,17.5,4.1,20.4,15.5,9.6
32355,30.2,5.8,21.8,19.2,12.2
40945,18.6,3.4,11.8,13.6,9.6
69458,8.6,3.5,5.0,7.2,5.1
41978,15.3,3.1,15.5,14.1,9.6
62139,12.0,4.6,11.4,11.1,6.8
55112,11.0,2.3,17.8,12.7,9.2
67335,9.7,3.5,14.4,12.3,7.1
42742,19.0,2.5,25.0,11.8,9.0
56862,12.0,3.8,7.8,10.4,7.7
42233,18.2,5.4,15.5,16.9,11.2
59323,12.6,4.4,10.7,11.4,8.1
50750,11.3,4.8,9.2,10.7,6.8
52689,13.6,3.7,12.9,12.5,8.9
34297,31.9,6.8,29.7,18.4,10.2
55522,12.4,3.5,25.4,12.4,6.9
39169,27.0,5.3,24.2,15.9,10.5
58515,11.8,4.0,9.7,12.1,8.4
52919,12.0,3.1,11.6,11.4,8.2
49147,12.2,4.8,10.7,13.2,9.1
37550,18.4,3.1,17.9,14.6,10.7
67094,12.0,2.6,8.7,12.6,8.6
46058,19.6,4.5,12.9,16.6,9.8
51046,20.7,3.3,6.4,9.6,5.9
33257,35.6,5.2,19.4,17.3,9.9
37860,22.7,6.3,15.5,16.9,11.1
49626,11.4,2.2,8.7,13.2,9.3
55202,11.1,5.9,11.8,12.4,8.8
56099,11.0,5.3,9.4,12.3,9.2
48660,17.7,3.5,12.6,13.5,8.9
54478,14.0,3.8,13.2,13.1,9.2
42674,18.4,2.9,20.3,14.6,10.6
37574,25.1,5.9,20.8,16.3,9.1
45502,14.2,8.0,10.9,14.7,11.7
60773,9.7,3.7,7.4,10.2,7.4
35087,20.4,4.6,13.7,16.5,10.8
39522,18.3,4.9,11.6,13.0,9.8
84170,9.1,3.8,15.6,9.7,5.9
50112,16.4,3.8,11.2,12.6,7.4
60874,12.0,4.2,13.1,12.9,7.9
61808,10.8,2.6,6.6,8.8,6.6
38886,24.4,5.0,20.9,17.5,9.7
44302,18.4,4.6,17.3,14.7,9.5
63310,14.9,4.0,20.5,12.8,5.8
72873,11.9,3.4,16.4,10.9,7.3
40299,18.2,5.2,14.0,13.4,7.9
50180,16.3,4.7,10.5,11.4,8.2
82733,7.4,3.1,8.6,10.0,5.8
56724,10.6,2.6,3.2,12.6,9.1
28524,30.1,6.7,24.1,25.6,12.5
44171,14.5,4.8,15.7,11.6,7.6
39735,18.7,4.5,23.4,16.5,12.4
44562,15.4,3.7,16.4,12.8,9.0
43031,22.9,4.9,24.1,15.7,8.6
60444,10.6,2.4,8.3,10.3,6.2
43303,23.2,4.2,10.6,11.7,6.6
39917,18.7,3.9,18.6,17.5,9.8
62930,8.5,3.9,6.6,10.2,7.1
59787,10.5,3.9,10.8,11.1,7.9
68126,9.0,3.8,10.3,11.7,6.4
48017,17.1,5.3,11.5,13.5,8.8
71888,8.2,2.4,8.2,8.7,6.3
34367,22.0,5.2,17.1,17.9,13.5
49532,12.0,3.4,12.6,13.0,9.8
50774,12.3,4.8,10.0,11.2,7.6
66319,8.5,5.2,7.7,11.4,8.2
33652,37.3,10.1,20.4,17.0,10.9
46365,15.4,6.9,12.0,14.5,10.7
44571,16.0,4.0,12.0,14.0,8.9
40133,22.8,6.3,18.7,15.9,10.0
36317,21.2,4.4,24.3,16.3,11.5
28925,39.1,6.5,27.2,16.0,10.5
52251,16.4,3.6,16.2,15.0,10.3
58345,9.5,6.3,8.0,13.4,9.5
42879,17.3,3.8,18.7,16.9,10.4
48315,12.3,2.7,14.5,12.6,9.3
49055,13.8,4.6,15.6,14.8,9.4
48606,15.7,3.3,11.7,13.3,8.3
75477,6.9,7.8,1.6,9.4,6.1
51740,14.6,3.3,15.5,13.8,8.0
70955,9.7,5.2,10.3,10.6,7.5
43048,17.7,4.9,21.9,15.9,11.2
55893,12.7,5.8,5.3,12.1,9.4
55879,10.1,3.5,7.2,10.4,7.8
46653,17.9,4.4,18.9,14.5,9.1
48779,13.6,3.6,20.9,12.6,8.4
64053,8.2,3.2,6.8,10.1,7.7
29362,31.3,6.3,30.5,18.8,13.8
55013,13.0,5.2,8.8,12.4,8.0
89513,8.5,5.4,12.7,11.3,6.7
63790,7.8,2.0,15.8,11.9,7.7
53882,15.4,3.3,8.7,10.4,6.8
36869,24.6,4.6,19.6,14.1,9.4
79141,8.4,2.7,17.1,10.7,5.5
43972,15.4,3.4,16.2,13.3,9.5
37429,20.3,5.0,27.7,16.9,9.7
48410,13.4,5.4,8.6,12.3,9.2
46810,15.2,5.3,30.7,13.7,8.5
46832,14.9,3.9,14.9,13.0,9.6
34777,23.3,6.4,6.1,17.3,12.8
44298,15.2,3.3,9.1,12.8,9.3
42821,19.0,6.3,9.7,14.3,9.8
48580,12.6,4.2,10.9,14.5,10.2
78637,3.3,3.9,22.7,11.4,7.2
37370,23.7,3.8,19.4,14.5,10.3
35025,17.8,4.1,15.1,17.0,12.8
74268,8.6,5.8,5.5,7.7,4.8
53147,9.1,2.0,7.7,10.8,8.0
29124,34.4,6.3,29.6,18.5,13.1
54063,13.6,5.8,11.3,11.5,8.0
55404,9.1,4.4,9.2,10.6,8.2
50089,14.9,4.6,12.5,13.9,9.0
63885,10.4,2.3,5.5,7.8,5.2
57757,11.8,4.8,10.4,11.6,8.3
37545,26.1,4.8,20.8,16.3,11.2
49164,15.1,5.6,12.8,11.7,8.4
60579,11.5,2.9,11.5,10.4,7.3
59881,11.7,4.0,5.7,10.3,6.8
31739,26.0,6.7,21.2,20.3,11.0
86695,7.5,3.0,9.8,10.6,6.2
49995,12.0,2.1,7.1,11.5,8.5
42603,17.3,3.7,17.8,15.0,10.6
83210,6.3,3.5,5.9,9.4,6.6
38131,22.4,4.8,18.9,17.6,9.3
41700,22.6,4.3,19.1,10.9,6.8
50671,15.1,3.3,31.8,13.5,6.8
50480,13.5,3.7,14.5,12.9,8.2
39726,20.4,3.6,19.5,15.1,9.7
50591,12.4,3.3,11.8,12.0,8.8
74646,6.6,2.0,3.8,9.2,6.7
48104,12.4,2.7,9.3,13.1,9.3
49639,15.7,4.0,13.1,13.8,8.9
71374,8.1,3.1,7.6,10.5,7.3
48689,12.5,4.6,7.0,13.1,9.5
53961,11.0,3.1,9.2,11.7,7.2
57005,15.4,5.3,15.3,12.8,8.4
106270,5.4,3.5,6.1,11.3,6.3
44100,20.1,4.7,25.7,14.3,9.3
63297,11.3,4.0,9.7,11.1,6.9
60187,12.2,4.1,11.1,11.5,7.1
45943,13.8,3.6,11.1,14.8,10.6
34024,33.6,4.1,16.9,18.4,12.1
47748,22.8,2.9,8.2,9.2,6.5
33116,29.4,6.1,23.1,18.6,9.5
42727,23.8,5.0,15.6,14.9,8.1
45405,23.9,4.0,12.4,14.7,8.8
48670,12.6,3.6,17.6,14.5,9.6
42820,17.5,4.2,22.6,15.0,9.7
52798,12.3,5.6,8.9,9.6,6.5
51354,15.7,4.1,15.2,13.7,9.3
61699,11.4,3.7,8.7,12.7,8.5
53493,11.2,3.6,11.3,13.4,8.7
79658,8.6,3.4,8.1,10.1,5.6
46426,16.3,3.9,11.4,14.3,10.5
41906,12.5,3.2,8.8,14.2,10.0
55079,12.5,7.5,6.1,11.9,8.5
52872,14.2,4.6,9.1,11.5,8.0
36571,21.7,3.5,28.6,15.5,10.8
84021,6.5,2.9,11.3,11.8,8.0
55300,11.0,5.1,8.9,11.1,7.8
53369,14.0,2.5,4.8,13.3,9.9
44409,16.2,3.9,13.5,15.9,11.0
27292,35.4,9.4,33.6,21.3,15.1
47551,19.2,6.5,15.4,15.2,9.8
35906,23.3,4.1,23.1,16.9,12.0
73337,14.3,3.9,15.8,11.1,5.4
38216,23.2,5.0,20.8,18.4,9.7
44243,16.7,4.0,8.9,12.0,9.3
67242,8.7,3.1,7.7,9.4,6.3
92310,7.9,4.0,9.8,11.2,5.2
43585,20.4,5.9,14.7,14.2,10.9
66901,10.6,3.6,13.0,12.1,7.4
40682,26.5,5.7,8.8,17.5,10.6
43074,19.5,3.5,13.4,15.7,11.0
48448,14.3,4.0,13.3,12.7,9.7
66499,9.3,3.8,11.3,9.6,6.1
48345,17.0,6.4,16.5,14.3,9.7
40064,19.4,5.5,16.2,15.7,11.3
47117,15.1,3.2,13.4,12.6,8.3
116719,5.2,3.0,4.5,9.2,4.9
44725,19.0,4.0,17.3,14.3,10.4
51514,11.4,2.3,4.3,12.9,8.9
59064,12.6,3.3,14.1,13.2,7.9
37562,25.7,5.9,19.3,17.0,8.4
57019,12.5,6.3,12.2,12.5,8.6
56535,11.0,2.6,9.1,10.4,7.7
54351,13.0,5.0,14.5,13.1,8.5
42307,21.6,3.8,22.6,15.0,10.6
36730,26.9,7.4,20.2,17.5,10.0
60908,10.0,3.6,11.3,13.3,8.6
57675,10.9,3.2,9.4,10.4,7.0
44623,18.8,5.5,14.1,14.2,9.8
46281,14.9,6.1,7.7,12.3,9.1
77696,6.4,3.4,7.2,11.3,6.9
46259,20.0,3.7,21.7,15.2,9.0
53805,9.4,3.6,7.1,10.9,8.3
45426,20.3,4.4,15.1,13.2,9.3
36471,20.0,3.7,21.2,16.9,11.1
42701,14.3,3.4,14.7,15.0,10.8
63636,10.4,3.6,11.7,9.8,6.9
50834,14.6,3.5,13.8,12.6,9.0
32906,31.1,9.2,21.9,16.6,11.5
41820,25.9,4.1,14.9,13.0,6.7
43121,15.2,4.3,21.7,15.1,10.4
46495,16.0,4.2,22.6,14.4,9.9
44683,18.6,3.6,18.7,19.0,11.9
53500,10.2,2.5,9.7,11.3,8.4
58057,8.6,2.6,8.1,10.4,7.0
44946,14.0,3.6,19.1,13.3,9.5
40467,22.4,5.5,13.4,15.7,8.6
37687,20.7,4.4,19.3,14.6,11.3
38171,14.9,4.8,16.5,16.7,12.1
54984,12.3,2.7,8.6,11.1,8.1
56803,10.1,3.0,6.8,11.1,7.6
53135,10.6,5.6,8.1,13.5,8.9
58855,9.2,2.4,10.1,10.8,7.6
41517,15.7,3.6,19.2,13.8,10.0
46818,11.2,2.5,7.2,12.4,8.4
50179,14.4,4.8,12.2,18.1,14.3
37233,26.1,3.8,27.3,16.8,11.8
45434,17.9,4.2,19.1,14.9,10.2
54915,10.1,4.4,11.2,11.2,7.9
56598,14.8,4.5,14.2,14.1,6.8
47865,18.7,5.3,10.8,12.6,8.1
55151,12.9,3.7,9.4,13.5,8.7
49730,12.2,3.1,11.8,13.9,9.0
86541,7.0,2.9,5.0,11.4,7.6
43659,18.0,4.7,12.1,15.7,10.4
49731,12.6,4.4,14.8,14.7,9.4
55013,16.1,3.7,10.3,13.5,7.6
51441,15.3,4.0,10.0,13.8,9.3
55978,11.2,4.1,12.1,12.2,8.9
52388,12.1,5.3,12.2,14.2,10.1
48920,16.0,3.1,12.9,12.0,8.2
54800,13.8,4.4,10.3,11.3,7.8
58643,15.5,4.6,17.1,12.9,7.7
43767,17.5,5.9,15.3,11.5,7.9
42205,19.7,4.2,19.5,16.7,10.4
39225,22.8,3.8,18.8,14.3,10.2
66992,10.5,3.0,6.7,10.4,6.8
47039,14.2,3.2,12.3,12.8,8.4
66219,9.2,3.0,5.0,7.8,5.7
51746,15.2,4.0,13.7,14.7,8.6
44116,19.5,17.0,27.9,13.0,8.6
49151,14.5,2.7,13.4,12.2,8.3
51317,12.5,3.2,8.9,11.5,8.3
64570,8.7,2.3,7.4,10.3,7.9
74109,8.2,5.8,10.1,9.5,5.3
36762,19.7,4.6,18.6,16.3,12.2
40179,25.4,4.6,13.2,14.9,8.8
45336,16.2,3.6,12.5,11.8,8.4
90858,5.2,2.7,7.2,10.9,6.6
40397,20.4,4.5,18.7,15.2,10.5
71825,7.7,4.2,6.0,9.7,6.3
42624,21.0,4.6,19.1,13.7,8.8
39079,20.0,4.0,13.3,17.4,9.9
50531,14.9,3.8,13.5,12.9,7.8
55159,12.1,2.7,12.4,11.2,8.9
50590,12.6,3.5,9.0,10.3,8.0
35826,20.2,3.7,21.1,16.5,12.0
66793,12.7,4.4,18.3,11.7,6.0
62204,12.8,3.0,11.2,12.4,6.2
44424,17.6,5.8,19.6,17.3,10.4
41807,18.2,5.5,14.4,15.2,10.2
61592,10.7,3.5,9.5,12.7,10.2
50748,14.9,4.2,11.8,12.2,8.0
46284,15.3,4.7,10.4,11.4,8.0
36354,24.5,3.9,17.2,17.5,10.0
76530,9.1,4.6,5.6,10.1,6.5
60412,10.1,4.1,5.9,10.3,7.1
44340,16.7,3.1,14.5,12.3,8.4
53602,13.0,4.7,10.2,12.7,8.8
31741,25.7,7.1,15.3,16.5,12.3
43125,19.0,3.0,18.5,17.2,9.0
35290,27.8,6.6,23.4,19.6,10.2
88709,6.7,3.5,5.8,9.0,6.3
56207,12.7,3.3,4.5,8.2,5.8
50568,14.1,5.1,10.3,13.5,9.5
36310,22.9,6.5,21.8,19.0,10.7
69991,7.8,2.6,5.9,9.4,7.0
71084,11.1,3.9,8.4,10.4,6.8
51132,14.4,4.1,9.9,9.1,7.0
58375,11.3,4.0,8.9,10.6,7.9
69562,11.6,3.7,8.5,11.2,5.8
54362,10.4,4.6,11.4,12.3,8.5
41960,17.6,4.3,25.8,17.0,12.1
36132,24.3,4.5,21.2,19.3,11.6
37887,20.2,4.1,20.3,15.1,10.6
53162,10.4,2.1,4.5,12.2,9.2
39048,20.0,4.2,15.4,15.6,12.0
65323,9.6,2.9,8.4,9.9,6.8
57409,12.2,3.8,17.0,11.9,7.4
37134,25.9,5.8,14.4,17.6,8.6
38806,29.5,5.1,17.5,17.0,8.0
39686,15.1,4.1,11.8,14.5,11.8
53607,13.8,4.4,16.6,12.0,8.4
51921,13.7,2.9,19.1,12.8,8.1
58987,10.1,2.8,9.8,11.8,7.4
63442,7.5,2.7,8.3,9.2,7.1
60728,12.1,4.0,9.1,12.9,6.5
47424,17.6,6.2,10.9,13.5,9.5
46027,17.9,4.4,19.8,16.6,10.1
33437,27.5,7.4,16.7,19.2,10.6
51788,10.4,3.6,9.6,11.5,8.4
101744,9.0,3.0,12.0,9.4,4.7
57690,12.1,2.9,8.0,9.8,6.8
48589,13.4,9.2,9.4,14.0,10.8
48337,15.8,4.8,13.5,16.1,10.8
56259,11.0,3.1,9.3,11.5,8.3
71586,8.2,2.7,5.0,8.7,6.6
48451,14.7,4.6,11.7,14.4,9.9
42455,21.6,3.3,17.9,11.2,7.8
73971,8.8,4.8,7.7,9.6,6.1
37428,21.7,3.9,23.0,16.1,9.6
95840,4.2,2.5,4.0,8.5,5.3
52814,12.3,4.3,11.1,16.0,10.9
44837,18.7,7.0,16.0,17.2,12.6
53704,13.9,3.2,11.5,14.6,10.2
54569,12.4,3.0,15.7,11.1,7.2
39198,21.8,5.9,21.6,16.6,9.3
37626,21.3,3.5,13.2,17.1,10.8
41180,16.1,3.3,11.5,13.5,9.6
57979,13.2,4.0,10.3,11.4,7.0
47624,16.1,4.0,14.5,13.9,8.9
42351,19.7,4.2,15.7,13.3,9.1
62782,7.6,2.8,8.3,12.0,8.2
42618,17.2,4.4,16.0,16.8,10.5
50312,15.1,4.7,11.8,12.7,8.7
57240,11.6,2.3,31.2,14.8,9.1
63929,9.7,4.2,12.2,13.8,9.3
59529,13.1,3.7,13.4,15.7,9.3
44410,17.2,3.4,14.4,14.8,10.1
36624,32.7,6.2,23.9,17.2,9.9
33973,25.1,7.3,22.5,22.3,11.0
40987,26.6,3.6,37.9,15.0,8.9
47757,16.7,4.0,20.7,15.6,10.0
51656,16.1,4.1,27.1,11.7,6.6
49487,10.8,4.3,14.2,14.8,10.4
