Median_Household_Income_2018,PCTPOVALL_2018,Unemployment_rate_2018,Percent of adults with less than a high school diploma 2014-18,diabetes_prevalence,Heart disease_prevalence
43439,16.8,3.9,13.3,14.7,10.4
58356,10.9,3.2,9.4,13.5,9.5
41912,19.7,2.9,22.6,14.3,8.1
60239,8.5,3.3,7.3,10.3,7.1
56645,10.6,3.2,8.7,10.7,8.0
40415,14.6,3.8,18.0,18.0,13.4
35685,21.2,4.3,21.2,14.9,10.1
61022,9.5,4.1,12.0,12.8,8.4
57256,8.6,2.6,9.3,9.9,7.2
47835,13.4,2.7,9.6,13.7,9.4
48429,18.3,2.2,4.7,12.7,9.9
59800,11.9,2.2,14.0,12.9,8.0
70162,6.3,1.8,9.2,8.7,6.1
78714,7.4,2.6,8.2,9.9,5.9
41869,17.9,4.5,17.4,14.9,9.6
45670,16.0,3.4,14.7,14.3,8.8
38572,19.0,6.4,13.3,15.6,11.4
47171,15.0,3.6,19.6,16.2,10.1
42112,27.0,4.0,12.9,10.3,5.5
44389,18.1,3.8,16.3,13.5,8.6
52660,12.2,5.5,10.2,12.7,8.4
42154,19.7,7.1,20.8,15.6,10.6
35069,26.3,5.8,25.5,15.4,9.1
47664,17.5,6.6,12.8,10.9,6.8
50396,14.3,4.2,12.1,12.2,8.9
60367,11.2,3.4,13.6,12.7,7.5
36230,26.7,6.5,17.7,18.4,9.4
49843,12.7,2.3,10.7,11.4,8.6
41256,15.1,6.4,11.1,14.9,11.7
52093,13.7,3.3,9.2,10.9,7.9
51305,10.1,3.0,8.7,11.7,8.7
56693,11.6,2.6,15.9,12.9,8.5
64524,11.2,5.4,12.3,12.7,8.0
58761,9.9,3.1,8.7,10.1,7.7
55174,12.3,3.9,7.4,11.1,8.0
47365,11.2,3.2,10.0,12.5,8.6
47662,15.9,3.9,19.3,12.2,8.2
51491,13.2,3.6,14.9,12.7,8.6
48372,13.8,3.7,18.6,13.3,9.1
44821,16.3,4.7,19.3,17.1,10.0
42431,13.9,3.0,5.4,12.7,9.7
41249,17.2,4.9,18.6,16.7,12.2
51559,14.1,2.0,22.4,13.0,7.7
41445,25.7,4.6,7.8,10.5,6.9
44638,19.3,6.2,11.9,12.9,9.0
32922,26.0,4.3,22.9,19.8,12.3
74240,10.4,2.1,5.9,7.5,5.0
47674,13.8,3.1,4.6,10.1,7.6
55365,12.3,4.1,11.1,13.3,8.5
49829,16.9,3.0,24.1,15.6,9.1
50190,13.5,5.1,10.7,13.1,8.7
35840,27.2,7.0,22.9,17.8,10.6
58096,8.7,2.6,7.8,11.4,8.4
112396,4.7,3.3,5.7,8.7,5.6
43436,18.3,3.2,23.9,16.2,9.7
49773,13.1,3.2,8.0,11.7,8.9
30144,31.4,7.7,30.1,19.2,13.9
49640,20.1,4.0,14.4,15.9,8.1
58113,12.4,3.9,13.0,11.5,8.6
56885,13.8,4.3,9.3,11.8,8.2
46490,24.6,3.0,38.6,12.5,7.2
46370,16.1,4.8,11.6,15.3,10.5
55371,12.6,2.4,7.6,12.1,8.9
33218,34.2,6.6,26.2,18.3,12.5
50861,16.7,2.6,6.7,12.2,9.6
60111,12.9,2.6,6.5,8.3,6.0
56556,13.4,5.7,11.7,12.7,8.2
63772,8.8,4.6,7.1,9.2,6.5
34796,24.8,4.1,24.3,14.9,10.8
35460,24.1,7.1,20.0,16.9,12.0
52401,13.8,3.6,13.8,11.0,7.6
57494,9.2,4.2,7.5,9.7,6.9
82633,10.0,3.5,11.2,11.2,5.3
79604,9.2,3.7,9.5,10.5,6.7
79173,7.3,4.4,3.9,8.4,5.5
30490,33.2,10.1,48.5,19.4,9.1
47840,14.7,3.8,8.4,10.9,8.1
48392,13.0,3.3,15.2,14.3,9.1
54332,13.8,3.7,14.2,14.0,9.1
49436,9.2,5.0,10.5,13.1,8.8
65379,8.5,3.0,7.8,9.3,5.8
33199,28.1,4.6,21.3,18.6,9.3
63681,9.4,3.0,11.6,12.2,8.0
53970,11.7,2.9,14.1,11.1,7.2
45906,20.6,3.4,23.1,14.6,9.8
68432,11.6,3.6,18.5,13.3,6.2
55602,12.2,4.3,10.8,12.8,8.5
82048,5.7,2.5,5.3,9.4,5.9
42259,23.6,4.6,20.7,18.2,9.4
68180,13.2,3.0,10.5,9.4,5.5
68749,7.6,2.2,7.1,9.2,5.5
58738,13.3,3.1,6.2,10.3,7.4
